,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.05632734299
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.6480517387390137
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27438688278
5,2019-03-29,SELL,NVDA,25169,4.400115013122559,162996.76915216446
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.066429615020752
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.61928606033
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.78456306458
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.304590225219727
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.99576854706
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.3161354065
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.546367645263672
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.66617965698
14,2019-06-28,BUY,NVDA,12893,4.056702613830566,0.5993795394897461
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.7824811935425
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.061013221740723
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.189823150635
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.78683757782
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.797661781311035
20,2019-09-30,SELL,NVDA,2049,4.272922039031982,8768.014919757843
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.9088120460510254
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.52898645401
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.678827762604
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.41560220718384
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.54624605179
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.386333942413
27,2019-11-29,BUY,NVDA,5232,5.433220863342285,187.7747769355774
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7047696113586
29,2019-12-31,SELL,NVDA,11901,5.783751487731934,69990.1312251091
30,2019-12-31,BUY,CSCO,1730,40.44773864746094,15.543365001678467
